Id,Date,Url,Topic
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,ffa national
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,national ffa
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,detail regarding
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,ffa national
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,national ffa
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sullivan auction
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sale auction
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,auction sale
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,auction sullivan
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sale auction
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,say bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,litigation settlement
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,settlement bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,say science
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,set june
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price said
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price home”
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price increase
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,sale chain
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,grocery year
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,number hog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,hog million
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,said could
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,hog backlog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,head million
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,crop u
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,would soybean
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,soybean million
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,would global
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,tonne million
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,rain expected
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,ton metric
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,storm said
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,soybean u
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,future bushel
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said carbon
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said farmer
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,bill carbon
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,bill carbon
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said republican
9,6/25/2020,https://www.agriculture.com/news/technology/fmc-corporation-launches-fmc-ventures,soil like
