Id,Date,Url,Topic,Topic_Heading
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,ffa national,convention
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,national ffa,convention
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,detail regarding,convention
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,ffa national,convention
1,6/26/2020,https://www.agriculture.com/news/ffa-convention-will-be-virtual-in-2020,national ffa,convention
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sullivan auction,dealer
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sale auction,dealer
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,auction sale,dealer
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,auction sullivan,dealer
2,6/26/2020,https://www.agriculture.com/news/machinery/20-million-dealer-auction-set-for-tuesday,sale auction,dealer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,say bayer,bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,litigation settlement,bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,settlement bayer,bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,say science,bayer
3,6/26/2020,https://www.agriculture.com/why-bayer-settled-roundup-and-dicamba-litigation,set june,bayer
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price said,annual
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price home”,annual
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,price increase,annual
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,sale chain,annual
4,6/26/2020,https://www.agriculture.com/news/business/largest-annual-increase-in-grocery-prices-since-2011,grocery year,annual
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,number hog,backlog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,hog million,backlog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,said could,backlog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,hog backlog,backlog
5,6/26/2020,https://www.agriculture.com/news/livestock/hog-backlog-on-us-farms-could-hit-2-million-head,head million,backlog
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,crop u,council
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,would soybean,council
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,soybean million,council
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,would global,council
6,6/26/2020,https://www.agriculture.com/news/crops/world-soybean-production-to-rise-by-8-percent-says-grains-council,tonne million,council
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,rain expected,big
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,ton metric,big
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,storm said,big
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,soybean u,big
7,6/26/2020,https://www.agriculture.com/news/three-big-things/3-big-things-today-june-26-2020,future bushel,big
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said carbon,backer
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said farmer,backer
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,bill carbon,backer
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,bill carbon,backer
8,6/25/2020,https://www.agriculture.com/news/business/senate-bill-would-help-farmers-get-into-carbon-markets-say-backers,said republican,backer
9,6/25/2020,https://www.agriculture.com/news/technology/fmc-corporation-launches-fmc-ventures,soil like,fmc
